PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,Right_LastEditedBy,Right_LastEditedWhen
1,2,1/1/2019,9,2,1/15/2019,B2084020,1,,,6,1/2/2019 7:00,1,150,18,Pack of 12 action figures (variety),18,9,5.5,1/2/2019,1,6,1/2/2019 7:00
1,2,1/1/2019,9,2,1/15/2019,B2084020,1,,,6,1/2/2019 7:00,2,151,21,Pack of 12 action figures (male),21,9,5.5,1/2/2019,1,6,1/2/2019 7:00
1,2,1/1/2019,9,2,1/15/2019,B2084020,1,,,6,1/2/2019 7:00,3,152,18,Pack of 12 action figures (female),18,9,5.5,1/2/2019,1,6,1/2/2019 7:00
10,10,1/2/2019,8,2,1/22/2019,ML0300202,1,,,5,1/3/2019 7:00,136,60,83,RC toy sedan car with remote control (Blue) 1/50 scale,83,7,12.5,1/3/2019,1,5,1/3/2019 7:00
11,12,1/2/2019,7,2,1/22/2019,237408032,1,,,5,1/3/2019 7:00,137,1,88,USB missile launcher (Green),88,7,9.5,1/3/2019,1,5,1/3/2019 7:00
11,12,1/2/2019,7,2,1/22/2019,237408032,1,,,5,1/3/2019 7:00,138,3,15,Office cube periscope (Black),15,6,112.5,1/3/2019,1,5,1/3/2019 7:00
11,12,1/2/2019,7,2,1/22/2019,237408032,1,,,5,1/3/2019 7:00,139,15,196,USB food flash drive - dessert 10 drive variety pack,196,9,88.5,1/3/2019,1,5,1/3/2019 7:00
12,4,1/3/2019,7,2,1/23/2019,293092,1,,,3,1/4/2019 7:00,140,77,11,"""The Gu"" red shirt XML tag t-shirt (White) XXS",11,6,84.0,1/4/2019,1,3,1/4/2019 7:00
12,4,1/3/2019,7,2,1/23/2019,293092,1,,,3,1/4/2019 7:00,141,101,5,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL",5,6,102.0,1/4/2019,1,3,1/4/2019 7:00
12,4,1/3/2019,7,2,1/23/2019,293092,1,,,3,1/4/2019 7:00,142,108,6,Superhero action jacket (Blue) XXS,6,7,19.0,1/4/2019,1,3,1/4/2019 7:00
12,4,1/3/2019,7,2,1/23/2019,293092,1,,,3,1/4/2019 7:00,143,114,6,Superhero action jacket (Blue) XXL,6,7,22.0,1/4/2019,1,3,1/4/2019 7:00
12,4,1/3/2019,7,2,1/23/2019,293092,1,,,3,1/4/2019 7:00,144,119,27,Dinosaur battery-powered slippers (Green) M,27,7,8.0,1/4/2019,1,3,1/4/2019 7:00
12,4,1/3/2019,7,2,1/23/2019,293092,1,,,3,1/4/2019 7:00,145,120,36,Dinosaur battery-powered slippers (Green) L,36,7,8.0,1/4/2019,1,3,1/4/2019 7:00
12,4,1/3/2019,7,2,1/23/2019,293092,1,,,3,1/4/2019 7:00,146,129,27,Plush shark slippers (Gray) XL,27,7,8.5,1/4/2019,1,3,1/4/2019 7:00
12,4,1/3/2019,7,2,1/23/2019,293092,1,,,3,1/4/2019 7:00,147,139,8,Furry animal socks (Pink) M,8,9,18.0,1/4/2019,1,3,1/4/2019 7:00
12,4,1/3/2019,7,2,1/23/2019,293092,1,,,3,1/4/2019 7:00,148,143,18,Halloween zombie mask (Light Brown) M,18,6,228.0,1/4/2019,1,3,1/4/2019 7:00
13,5,1/3/2019,10,2,1/23/2019,8803922,1,,,3,1/4/2019 7:00,149,32,26,Developer joke mug - that's a hardware problem (White),26,7,4.5,1/4/2019,1,3,1/4/2019 7:00
13,5,1/3/2019,10,2,1/23/2019,8803922,1,,,3,1/4/2019 7:00,150,33,32,Developer joke mug - that's a hardware problem (Black),32,7,4.5,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,151,153,11,Small sized bubblewrap roll 10m,11,7,22.0,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,152,155,24,Large sized bubblewrap roll 50m,24,7,130.0,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,153,159,5,20 mm Double sided bubble wrap 10m,5,7,80.0,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,154,169,6,20 mm Anti static bubble wrap (Blue) 20m,6,7,210.0,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,155,173,8,32 mm Anti static bubble wrap (Blue) 50m,8,7,470.0,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,156,175,10,Bubblewrap dispenser (Blue) 1.5m,10,7,110.0,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,157,176,23,Bubblewrap dispenser (Red) 1.5m,23,7,110.0,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,158,177,4,Shipping carton (Brown) 413x285x187mm,4,7,13.75,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,159,179,7,Shipping carton (Brown) 229x229x229mm,7,7,13.75,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,160,185,17,Shipping carton (Brown) 356x356x279mm,17,7,26.25,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,161,187,23,Express post box 5kg (White) 350x280x130mm,23,7,11.25,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,162,189,4,Clear packaging tape 48mmx75m,4,7,44.2,1/4/2019,1,3,1/4/2019 7:00
14,7,1/3/2019,2,2,1/23/2019,BC0280982,1,,,3,1/4/2019 7:00,163,190,4,Clear packaging tape 48mmx100m,4,7,36.0,1/4/2019,1,3,1/4/2019 7:00
